N,Title,Author,Composer,Tune
627,Behold the Throne of Grace!,"Newton, John","Woodman, Jonathan C.",State Street
628,"Come, My Soul, Thy Suit Prepare","Newton, John","Malan, Henri A. Ceasar",Hendon
629,What a Friend We Have in Jesus,"Scriven, Joseph","Converse, Charles C.",What A Friend
630,"Eternal Father, Strong to Save","Whiting, William","Dykes, John B.",Melita
631,From Every Stormy Wind That Blows,"Stowell, Hugh","Hastings, Thomas",Retreat
632,"When the Weary, Seeking Rest","Bonar, Horatius","Callcott, William H.",Intercession New
633,"Father, We Thank You for the Night","Weston, Rebecca J.","Batchellor, Daniel",Onslow
634,Sweet Hour of Prayer,"Walford, William W.","Bradbury, William B.",Sweet Hour
635,How Good It Is to Thank the Lord,The Psalter,"Bortniansky, Dmitri",St. Petersburg
636,Can a Little Child like Me,"Dodge, Mary Mapes","Basswood, W. K.",Thanksgiving (Basswood)
637,What Shall I Render to My God,"Watts, Isaac","Mason, Lowell",Downs
638,"Savior, Thy Dying Love Thou Gavest Me","Phelps, S. Dryden","Lowry, Robert",Something For Jesus
639,Thy Life Was Given for Me,"Havergal, Frances R.","Gower, John H.",Devotion
640,My Tribute,"Crouch, Andrae","Crouch, Andrae",My Tribute
641,How Long Wilt Thou Forget Me,The Psalter,"Mann, Arthur H.",Angel’s Story
642,Be Thou My Vision,Ancient Irish poem,Traditional Irish melody,Slane
643,"Judge Me, God of My Salvation",The Psalter,Traditional Welsh melody,Blaenhafren
644,May the Mind of Christ My Savior,"Wilkinson, Kate B.","Barham-Gould, A. Cyril",St. Leonards
645,"Jesus, the Very Thought of Thee",Latin,"Dykes, John B.",St. Agnes
646,"Jesus, Thou Joy of Loving Hearts",Bernard of Clairvaux,"Baker, Henry",Quebec
647,How Sweet the Name of Jesus Sounds,"Newton, John","Reinagle, Alexander R.",St. Peter
648,"My Jesus, I Love Thee","Fetherstone, William R.","Gordon, Adoniram, J.",Caritas
649,"More Love to Thee, O Christ","Prentiss, Elizabeth Payson","Doane, William H.",More Love To Thee
650,I Will Sing of My Redeemer,"Bliss, Philip P.","McGranahan, James",My Redeemer
651,He Lifted Me,"Gabriel, Charles H.","Gabriel, Charles H.",He Lifted Me
652,"Savior, Teach Me, Day by Day","Leeson, Jane E.","Strattner, Georg C.",Posen
653,Jesus Is All the World to Me,"Thompson, Will L.","Thompson, Will L.",Elizabeth
654,"O Jesus, I Have Promised","Bode, John E.","Mann, Arthur H.",Angel’s Story
655,O Safe to the Rock That Is Higher Than I,"Cushing, William O.","Sankey, Ira D.",Hiding In Thee
656,"Jesus, Priceless Treasure","Franck, Johann","Cruger, Johann","Jesu, Meine Freude"
657,"In Sweet Communion, Lord, with Thee",The Psalter,Day’s Psalter,St. Flavian
658,"Jesus, My Lord, My God, My All","Collins, Henry","Huffman, Hughes M. ",Sarah
659,Let Us Praise God Together,"Seddon, James E.",Spiritual,Let Us Break Bread
660,O God beyond All Praising,"Perry, Michael","Holst, Gustav",Thaxted
661,As Pants the Hart for Cooling Streams,Tate and Brady’s New Version,"Spohr, Louis",Spohr
662,As the Hart Longs for Flowing Streams,"Harkins, Dana",Appalachian folk melody,As The Hart Longs
663,"O God Eternal, You Are My God!","Idle, Christopher M.",Traditional melody,O God Eternal
664,Call Jehovah Your Salvation,"Montgomery, James","Dirksen, Richard",Christ Church (or Sydnor)
665,What Time I Am Afraid,The Psalter,"Burnap, Uzziah C.",Holy Guide
666,In Silence My Soul Is Waiting,"Saward, Michael","Strover, Christian",Silence
667,God Is My Strong Salvation,"Montgomery, James","Vulpius, Melchior",Mein Leben
668,"Who Trusts in God, a Strong Abode","Magdeburg, Joachim","Sullivan, Arthur S.",Constance
669,Commit Now All Your Griefs,"Gerhardt, Paul","Elvey, George J.",Diademata
670,If Thou But Suffer God to Guide Thee,"Neumark, Georg","Neumark, Georg",Neumark
671,Forever Trusting in the Lord,The Psalter,"Gower, John H.",Meditation
672,Trust and Obey,"Sammis, John H.","Towner, Daniel B.",Trust And Obey
673,Cast Your Burden on the Lord,Hill’s Psalms and Hymns,"Gottschalk, Louis M.",Mercy
674,I Need Thee Every Hour,"Hawks, Annie S.","Lowry, Robert",Need
675,Only Trust Him,"Stockton, John H.","Stockton, John H.",Minerva
676,Day by Day and with Each Passing Moment,"Berg, Carolina Sandell","Ahnfelt, Oscar",Blott En Dag
677,"Praise the Savior, Ye Who Know Him!","Kelly, Thomas",Traditional German melody,Acclaim
678,Trusting Jesus,"Stites, Edgar Page","Sankey, Ira D.",Trusting Jesus
679,Tis So Sweet to Trust in Jesus,"Stead, Louisa M. R.","Kirkpatrick, William J.",Trust In Jesus
680,Consider the Lilies,"Hawthorne, Grace","Fettke, Tom",Consider The Lilies
681,How Gentle God’s Commands,"Doddridge, Phillip","Nageli, Hans G.",Dennis
682,"In Thee, O Lord, I Put My Trust",Anon.,"Lowry, J. C.","In Thee, O Lord"
683,Not Haughty Is My Heart,The Psalter,Gregorian Chant,Olmutz
684,My Times Are in Thy Hand,"Lloyd, William F.",St. Albans Tune Book,Vigil
685,"My Jesus, As Thou Wilt!","Schmolck, Benjamin","von Weber, Carl Maria",Jewett
686,"Thy Way, Not Mine, O Lord","Bonar, Horatius","Maker, Frederick C.",Invitation
687,"Make Me a Captive, Lord","Matheson, George","Hustad, Donald P.",Paradoxy
688,"Have Thine Own Way, Lord!","Pollard, Adelaide","Stebbins, George C.",Holy Desire
689,"Be Still, My Soul","von Schlegel, Katharina","Sibelius, Jean",Finlandia
690,I Know That My Redeemer Lives,"Wesley, Charles","Handel, George Frederick",Bradford
691,It Is Well with My Soul,"Spafford, Horatio G.","Bliss, Philip P.",Ville Du Havre
692,"To You, O Lord, I Fly",The Psalter,"Martin, George William",Leominster
693,Blessed Assurance,"Crosby, Fanny J.","Knapp, Phoebe P.",Assurance
694,"Lord, I Lift My Soul to Thee",The Psalter,"von Weber, Carl Maria",Seymour
695,By Grace I Am an Heir of Heaven,"Scheidt, Christian L.","Neumark, Georg",Neumark
696,I’ve Found the Pearl of Greatest Price!,"Mason, John","Purday, Charles H.",Jerusalem
697,Wonderful Words of Life,"Bliss, Philip P.","Bliss, Philip P.",Words Of Life
698,"O Happy Day, That Fixed My Choice","Doddridge, Phillip","Southgate, Thomas B.",Brookfield
699,Like a River Glorious,"Havergal, Frances R.","Mountain, James",Wye Valley
700,"Come, We that Love the Lord","Watts, Isaac","Williams, Aaron",St. Thomas
701,"Redeemed, How I Love to Proclaim It!","Crosby, Fanny J.","Butler, A. L.",Ada
702,"Peace, Perfect Peace","Bickersteth, Edward H.","Caldbeck, George T.",Pax Tecum
703,Loved with Everlasting Love,"Robinson, George W.","Mountain, James",Everlasting Love
704,Thou Wilt Keep Him in Perfect Peace,Anon.,"Witty, Robert",Furchte Dich Nicht
705,I Know Whom I Have Believed,"Whittle, Daniel W.","McGranahan, James",El Nathan
706,"Jesus Lives, and So Shall I","Gellert, Christian F.","Cruger, Johann","Jesus, Meine Zuversicht"
707,"Jesus, I My Cross Have Taken","Lyte, Henry F.","Mozart, Wolfgang Amadeus",Ellesdie
708,O Love That Wilt Not Let Me Go,"Matheson, George","Peace, Albert L.",St. Margaret
709,Now I Belong to Jesus,"Clayton, Norman J.","Clayton, Norman J.",Ellsworth
710,God of Our Fathers,"Roberts, Daniel C.","Warren, George William",National Hymn
711,God the All-Terrible!,"Chorley, Henry F.","Lwoff, Alexis",Russian Hymn
712,"O God of Love, O King of Peace","Baker, Henry W.","Baker, Henry",Quebec
713,"Great King of Nations, Hear Our Prayer","Gurney, John H.","Croft, William",St. Anne
714,We Plow the Fields,"Claudius, Matthias","Schultz, Johann A. P.",Wir Pflugen
715,"Come, Ye Thankful People, Come","Alford, Henry","Elvey, George J.","St. George’s, Windsor"
716,Sing to the Lord of Harvest,"Monsell, John S. B.","Steurlein, Johann",Wie Lieblich Ist Der Maien
717,Blest the Man That Fears Jehovah,The Psalter,"Jude, William H.",Galilee
718,"O Happy Home, Where Thou Art Loved","Spitta, Carl J. P.","Mendelssohn-Bartholdy, Felix",Communion
719,A Christian Home,"Hart, Barbara B.","Sibelius, Jean",Finlandia
720,Happy the Home When God Is There,"Ware, Henry, Jr.","Mason, Lowell",Downs
721,"O Father, All-Creating","Ellerton, John","Calkin, John Baptiste",Savoy Chapel
722,O Perfect Love,"Gurney, Dorothy F.","Barnby, Joseph",Perfect Love
723,Come Away to the Skies,The Southern Harmony,The Southern Harmony,Middlebury
724,The Ten Commandments,"Westra, Dewey",Genevan Psalter,Les Commandements De Dieu
725,The Lord’s Prayer,"de Jong, Henry J.","Dykes, John B.",Melita
726,Spirit of the Living God,"Iverson, Daniel","Iverson, Daniel",Iverson
727,"Lead Me, Lord, Lead Me in Thy Righteousness","Wesley, Samuel S.","Wesley, Samuel S.",Lead Me Lord
728,"Hear Our Prayer, O Lord",Anon.,"Whelpton, George",Whelpton
729,All Things Are Thine,"Whittier, John G.","Gorlitz, Pensum Sacrum",Herr Jesu Christ
730,Benediction,"Newton, John","Stainer, John",Evening Prayer (Stainer)
731,Doxology,"Ken, Thomas",Genevan Psalter,Old Hundredth
732,Doxology,"Ken, Thomas","Tallis, Thomas",Tallis’ Canon
733,Doxology,"Ken, Thomas",Geistliche Kirchengesange,Lasst Uns Erfreuen
734,Gloria Patri,,"Meineke, Charles",Gloria Patri (Meineke)
735,Gloria Patri,,"Greatorex, Henry W.",Gloria Patri (Greatorex)
736,Gloria Patri,Gloria Patri,"Young, Carlton",Gloria Patri (Young)
737,"Christ, We Do All Adore Thee",Latin hymn,"Dubois, Theodore",Adore Thee
738,Twofold Amen,,Anon.,Dresden
739,Twofold Amen,,Greek liturgy,
740,Threefold Amen,,Anon.,Danish
741,The Apostles’ Creed,"De Vries, Frank","Miladin, George C.",Credo (Miladin)
742,The Apostles’ Creed,Anon.,"Taylor, Cyril V.",Mead House
